소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,위도,경도,현장소방서거리,현장안전센터거리,발화요인,시설장소
강남소방서,수서119안전센터,228,강남구,수서동,208962.3306,543095.6183,37.48726581,127.1013374,5.1,1,전기적 요인,운수자동차시설
강남소방서,삼성119안전센터,351,강남구,삼성동,204807.8655,545804.6811,37.51170557,127.0543805,1.6,2.8,전기적 요인,판매/업무시설
강남소방서,삼성119안전센터,245,강남구,삼성동,204761.88,545300.15,37.50715997,127.0538571,1.3,1.3,부주의,판매/업무시설
강남소방서,개포119안전센터,320,강남구,개포동,204076.22,541980.43,37.47725234,127.0460838,5.8,0.5,부주의,판매/업무시설
강남소방서,역삼119안전센터,646,강남구,도곡동,204316.48,542974.005,37.48620344,127.0488059,4.5,2.4,미상,주거
강남소방서,영동119안전센터,200,강남구,논현동,202267.48,545464.71,37.50865215,127.0256458,4.4,2.3,부주의,자동차/철도차량
강남소방서,삼성119안전센터,222,강남구,삼성동,205082.91,545412.18,37.50816765,127.0574887,0.9,0.9,부주의,주거
강남소방서,영동119안전센터,550,강남구,논현동,202309.97,545678.11,37.51057479,127.026127,4.4,2.1,부주의,주거
강남소방서,삼성119안전센터,437,강남구,대치동,205076.45,544661.79,37.50140663,127.0574105,1.7,1.7,부주의,주거
강남소방서,삼성119안전센터,338,강남구,청담동,204885.8349,546968.1891,37.52218841,127.0552701,2.7,1.9,미상,판매/업무시설
강남소방서,영동119안전센터,703,강남구,압구정동,202585.0743,548004.3133,37.53153322,127.0292468,6.7,2.1,부주의,주거
강남소방서,역삼119안전센터,455,강남구,역삼동,202441.18,544831.9,37.50295006,127.0276083,4.5,2.3,부주의,기타
강남소방서,삼성119안전센터,418,강남구,삼성동,204413.83,546005.01,37.51351251,127.0499248,2.1,2.1,전기적 요인,주거
강남소방서,개포119안전센터,225,강남구,개포동,204102.86,541924.63,37.47674946,127.0463847,6.5,0.5,부주의,주거
강남소방서,역삼119안전센터,414,강남구,역삼동,202887.89,545245.38,37.50667425,127.0326619,3.6,1.7,부주의,판매/업무시설
강남소방서,영동119안전센터,424,강남구,신사동,202442.63,546991.2,37.52240544,127.0276319,5,1.2,부주의,판매/업무시설
강남소방서,영동119안전센터,239,강남구,논현동,203333.5232,546534.6494,37.51828912,127.0377079,3.7,1,부주의,주거
