소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,현장소방서거리,현장안전센터거리,발화요인대분류명,시설장소대분류명
frstt_nm,ward_nm,dsp_reqre_time,sigungu_nm,emd_nm,gis_x_axis,gis_y_axis,spt_frstt_dist,spt_safe_cnter_dist,ign_fctr_lclas_nm,fclty_place_lclas_nm
강동소방서,천호119안전센터,431,강동구,천호동,210659.0823,549580.3329,2.4,1.8,기타,자동차/철도차량
강서소방서,화곡119안전센터,305,강서구,화곡동,186708.947,548533.2006,4.5,1,부주의,주거
관악소방서,관악119안전센터,324,관악구,신림동,193774.31,540165.76,3.8,3.8,미상,기타
서초소방서,반포119안전센터,459,서초구,잠원동,200588.7843,546162.1026,3.6,3.6,교통사고,자동차/철도차량
강남소방서,역삼119안전센터,322,강남구,역삼동,203738.29,544481.6,2.8,0.4,미상,생활서비스
영등포소방서,여의도119안전센터,402,영등포구,여의도동,193989.608,547647.2705,3.4,0.7,부주의,기타
용산소방서,한강로119안전센터,433,용산구,청파동3가,196668.71,549162.61,1.8,1.8,부주의,판매/업무시설
동대문소방서,용두119안전센터,345,동대문구,제기동,203675.94,553302.87,4,0.5,부주의,생활서비스
은평소방서,진관119안전센터,500,은평구,진관동,194892.8998,561928.2509,5,5,부주의,기타
구로소방서,구로119안전센터,257,구로구,구로동,188781.0471,543244.8777,2.7,1.9,부주의,기타
마포소방서,서교119안전센터,426,마포구,연남동,193190.2,551745.15,2.8,2.3,부주의,기타서비스
중랑소방서,중화119안전센터,356,중랑구,묵동,206821.87,556671.97,2.9,1.6,부주의,주거
마포소방서,공덕119안전센터,410,마포구,공덕동,195875.58,549521.4,4.1,0.9,미상,판매/업무시설
양천소방서,신정119안전센터,419,양천구,신정동,186919.29,546281.37,3.2,1.1,부주의,주거
송파소방서,마천119안전센터,258,송파구,오금동,212133.54,545082.69,0.9,0.9,부주의,기타
동작소방서,백운119안전센터,330,동작구,사당동,198382.2591,542920.3613,10,2.7,부주의,기타
중랑소방서,중화119안전센터,335,중랑구,상봉동,206549.92,554785.89,5.1,2.3,부주의,기타
동대문소방서,전농119안전센터,359,동대문구,답십리동,204497.54,552334.47,2.2,1.2,부주의,주거
양천소방서,신월119안전센터,403,양천구,신월동,184738.7808,548143.283,5.7,1.1,방화,주거
송파소방서,거여119안전센터,441,송파구,마천동,213573.04,544470.68,1.5,1,부주의,주거
중부소방서,을지로119안전센터,209,중구,을지로6가,200645.03,551926.45,1.3,0.5,전기적 요인,판매/업무시설
중부소방서,회현119안전센터,355,중구,의주로2가,197211.8422,551269.1485,4.2,1.5,부주의,기타
송파소방서,방이119안전센터,437,송파구,방이동,209785.06,545894.56,4,2,부주의,주거
송파소방서,마천119안전센터,450,송파구,장지동,212626.98,542025.68,2.5,2.5,부주의,기타
강북소방서,미아119안전센터,500,강북구,미아동,202093.4131,558947.6577,2,1,부주의,기타
금천소방서,금천119안전센터,300,금천구,독산동,190612.89,541107.19,1,1,부주의,산업시설
서대문소방서,북아현119안전센터,226,서대문구,대현동,195358.85,551449.15,3.5,1.9,미상,교육시설
성북소방서,종암119안전센터,339,성북구,안암동5가,202577.4255,553711.5813,3.5,2,부주의,기타
