GIS_X좌표,GIS_Y좌표
201045.87,560270.07
200227.5854,560295.0903
203313.31,557336.08
202365.61,558448.67
202645.34,558760.57
200878.9161,562533.7134
200841.6091,562487.4812
201145.5048,559333.9504
201319.7,560844.86
203137.49,559644.48
201078.4889,558376.0436
202977.56,557414.59
200987.7321,560997.1239
202458.82,560354.5
201338.25,559980.67
202892.22,557332.1
201312.34,558418.65
202162.99,558620.04
201398.47,560254.59
201854.61,558820.71
201964.4646,559516.1886
200795.04,560516.7
202231.0234,559926.9376
202012.8,559258.19
202837.07,556741.78
202411.2905,559745.6063
202198.77,558742.23
202422.6238,560178.2632
200812.41,560295.25
201154.39,560951.05
202813.0029,556996.4371
202798.24,557418.24
202438.6814,557609.3777
202344.31,559281
201096.1745,562340.6418
202212.03,559090.04
201012.35,559635.26
201211.5452,560482.8299
202918.67,559553.78
201907.96,558634.82
202100.74,560549.8
203312.0931,558434.6479
201699.7,559204.73
201429.54,560754.53
202107.32,560856.18
201406.58,559284.77
201796.85,560461.4
201118.92,562247.59
201910.15,559918.93
201720.05,557861.28
202879.29,557098.37
201328.84,558631.63
203476.571,558476.0558
201485.8,558061.79
202760.95,556966.85
201806.27,559908.87
202791.4,556773.95
201054.7096,561992.8565
202116.4975,559935.1396
201521.03,560082.27
202635.56,558527.55
201544.09,559164.77
202423.9285,560141.4363
202827.86,560016.86
201585.04,557882.55
202771.7,557574.93
202066.63,559981.57
203843.59,558458.2274
202618.72,559411
201858.17,559415.45
201625.62,558967.26
202095.77,557221.54
203295.68,558284.27
201832.12,557714.69
202505.86,559822.35
202781.89,557231.96
202736.01,559840.73
202717.91,557004.67
202597.56,557977.92
202131.2432,559960.8476
201051.5393,562409.1583
202564.55,559601.9
202274.09,558084.9
202027.01,559020.09
202572.27,559648.03
200759.74,560389.34
201213.26,558022.51
202038.96,558792.75
202181.13,559595.83
201933.12,559360.46
202770.0551,557195.5425
201777.36,558335.14
202228.75,560250.22
186436.4485,548170.4639
186668.9241,551104.886
187210.23,548671.98
185689.92,550624.49
185941.22,549194.65
186186.47,549160.74
187302.79,550750.41
182255.07,553574.68
184088.7742,551558.4645
186901.92,550259.93
187807.45,550809.23
186444.68,551244.56
186131.88,547636.45
185896.26,548974.31
186207.9,548268.03
182496.3981,551399.3033
186941.14,550597.57
185919.66,547963.36
188088.7143,551019.9929
188106.71,550924.36
187185.6263,550990.5486
187083.5037,551960.6378
188914.73,549766.94
186682.4123,551412.3259
184330.24,552300.64
185756.0253,549276.3188
185676.8197,549083.9249
187293.1237,551724.4671
185439.472,551097.0927
186339.59,547841.6
186197.49,547778.2
184088.7588,551189.509
186452.3019,547955.8942
184740.5757,551974.7896
184848.2972,551015.088
187713.36,551073.64
183662.07,551896.73
185528.68,549054.24
185401.0945,551159.637
186713.9473,551694.0346
181028.27,549871.4
186594.4517,548780.8919
186878.34,551556.48
189053.606,550332.0489
184158.515,550430.99
185137.9126,549185.2639
185203.3889,549373.7367
183379.43,551091.51
187711.19,550144.49
186226.3967,547755.246
189004.24,549938.68
186680.455,551030.51
185748.06,549249.29
183232.74,553219.514
184521.09,551320.66
185169.23,550075.04
183738.8464,552748.1565
185512.8736,549794.7517
186738.62,549261.72
189085.2369,550453.2221
186386.8,548009.97
188500.36,550399.42
184004.03,550489.56
186401.0122,548191.7842
185732.02,552345.13
183978.6521,552606.6029
183108.66,551648.51
186662.82,549159.55
183311.2,552695.19
187580.0634,551227.3227
183390.5338,549559.1434
179640.14,550807.51
189236.386,550457.7879
186258.27,547653.8
187422.1044,550575.4083
183186.02,551374.69
185800.7284,551509.7836
183492.15,552355.89
186829.7431,550345.6075
183666.4064,552817.0291
185910.16,547557.72
185394.99,548946.1
187455.5352,548687.6596
187619.5448,548475.3002
186785.41,550027.61
186497.4584,548533.3509
183274.7,552617.68
185747.86,548295.82
186408.5021,547996.9951
183671.43,552310.31
187746.1,547968.92
187935.03,548049.6
187038.33,550533.3
185698.14,548000.29
186892.6481,549585.8834
186708.947,548533.2006
183585.1881,552350.5282
182327.41,554750.28
186071.6878,549150.8399
186630.01,551744.73
187315.6073,550978.705
185144.7964,552766.9117
186506.0653,548777.7067
183783.5572,553080.1351
187047.01,547747.35
188525.9283,549873.3119
187637.6,549566.59
187153.97,550664.04
187268.96,550825.41
184016.9066,552807.3759
183364.9,552577.65
187411.5048,550959.1871
182982.5067,551585.2794
186355.15,547794.44
183932.3713,552636.8275
182167.5177,549584.7021
186869.19,550416.06
185493.4221,549492.4397
185288.77,549210.5
188124.6028,550145.6853
182927.2468,551927.726
186772.15,549890.2
186179.6268,549363.6417
187583.24,548334.86
187712.44,549675.79
186369.6661,551281.5014
183941.3,550696.33
187855.9699,548375.1748
185592.32,549000.45
186868.4946,550413.0075
187900.19,550169.28
186029.12,547712.3724
185783.2932,549924.6702
186749.53,549070.38
186235.963,551105.2982
186331.27,549091.3
185897.45,552227.24
185768.714,549066.3641
182609.2988,552843.8959
186004.933,551697.8888
185521.53,550397.25
183113.71,551409.6
184609.4938,551976.399
182933.17,552570.34
186848.4964,551230.0836
183372.37,552733.53
185983.37,548612.64
183111.04,551386.25
182416.73,553426.18
186055.51,549127.35
188727.005,549832.505
183564.25,551899.5
185489.48,550094.94
183369.1027,552700.8826
186373.0353,549617.5809
186161.391,547841.3183
185591.8095,550642.9736
184155.04,552217.17
185644.6122,549012.9155
186072.42,549476.73
186674.79,550949.19
185459.82,549405.05
186236.28,547642.8
186391.79,549888.13
186508.17,549280.8
184635.3167,552068.706
184456.26,550961.51
185346.86,549363.73
187164.3254,551492.5606
185430.82,550336.93
183080.9958,552252.7918
183263.53,551085.22
185910.74,549081.83
186745.29,548556.01
184502.1145,553497.3002
186233.66,549172.84
186522.89,550276.19
184536.585,552069.425
184003.1268,552633.5675
187733.34,548229.62
185701.31,548480.42
186550.7161,547785.0108
187174.07,548549.83
185963.98,552160.08
185988.43,551909.06
186379.36,552454.22
186583.9264,551484.1275
185370.1928,551165.9179
184198.32,551373.97
186683.443,550406.6103
185198.72,551244.87
183817.2581,549413.1442
187558.8374,549612.8899
183800.8106,549479.3478
189174.1325,550039.0673
187750.11,550718.59
186049.12,549560.19
186424.8,547779.25
184786.5383,552132.7133
185711.5375,550009.6523
185281.8563,553151.9036
185608.6042,549899.9019
185669.97,550506.07
187118.868,550600.6233
186475.94,550165.18
185714.0411,549921.8331
188114.45,550264.5
187307.5042,550787.7536
185071.74,551039.5416
186618.6101,551766.2582
186774.72,550005.59
188538.21,550064.99
186569.09,547713.11
184589.3352,550774.328
186169.94,548032.59
187944.22,550620.79
186048.1,549096.75
186268.63,549502.36
186806.1115,551361.3833
183127.734,551667.3778
186449.9544,548117.0954
